x,y,u,v,p,T
-0.509041,0.860742,0.860742,0.509041,0.423985,0
-0.535827,0.844328,0.844328,0.535827,0.400504,0
-0.562083,0.827081,0.827081,0.562083,0.379215,0
-0.587785,0.809017,0.809017,0.587785,0.358913,0
-0.612907,0.790155,0.790155,0.612907,0.340589,0
-0.637424,0.770513,0.770513,0.637424,0.32334,0
-0.661312,0.750111,0.750111,0.661312,0.307138,0
-0.684547,0.728969,0.728969,0.684547,0.292984,0
-0.707107,0.707107,0.707107,0.707107,0.279689,0
-0.728969,0.684547,0.684547,0.728969,0.268109,0
-0.750111,0.661312,0.661312,0.750111,0.257312,0
-0.770513,0.637424,0.637424,0.770513,0.247652,0
-0.790155,0.612907,0.612907,0.790155,0.239257,0
-0.809017,0.587785,0.587785,0.809017,0.232122,0
-0.827081,0.562083,0.562083,0.827081,0.226146,0
-0.844328,0.535827,0.535827,0.844328,0.22113,0
-0.860742,0.509041,0.509041,0.860742,0.21742,0
-0.876307,0.481754,0.481754,0.876307,0.214225,0
-0.891007,0.45399,0.45399,0.891007,0.212211,0
-0.904827,0.425779,0.425779,0.904827,0.211247,0
-0.917755,0.397148,0.397148,0.917755,0.210418,0
-0.929776,0.368125,0.368125,0.929776,0.210914,0
-0.940881,0.338738,0.338738,0.940881,0.212105,0
-0.951057,0.309017,0.309017,0.951057,0.213708,0
-0.960294,0.278991,0.278991,0.960294,0.215986,0
-0.968583,0.24869,0.24869,0.968583,0.21863,0
-0.975917,0.218143,0.218143,0.975917,0.221944,0
-0.982287,0.187381,0.187381,0.982287,0.225722,0
-0.987688,0.156434,0.156434,0.987688,0.229814,0
-0.992115,0.125333,0.125333,0.992115,0.234049,0
-0.995562,0.0941083,0.0941083,0.995562,0.238636,0
-0.998027,0.0627905,0.0627905,0.998027,0.243474,0
-0.999507,0.0314108,0.0314108,0.999507,0.248584,0
-1,-4.31843e-15,-4.31843e-15,1,0.253959,0
-0.999507,-0.0314108,-0.0314108,0.999507,0.259028,0
-0.998027,-0.0627905,-0.0627905,0.998027,0.264243,0
-0.995562,-0.0941083,-0.0941083,0.995562,0.269497,0
